Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_debug_0_adc_data_r[13:0]
0,0,0,22a7
1,1,0,1e59
2,2,0,2297
3,3,0,1e36
4,4,0,2eb6
5,5,0,3eb7
6,6,0,3eb7
7,7,0,3eb6
8,8,0,1ea5
9,9,0,2ead
10,10,1,1e3f
11,11,0,22a1
12,12,0,1e57
13,13,0,2277
14,14,0,1e81
15,15,0,226e
16,16,0,1e7d
17,17,0,227c
18,18,0,1e7a
19,19,0,2268
20,20,0,1e81
21,21,0,227c
22,22,0,1e68
23,23,0,2291
24,24,0,1e4c
25,25,0,2299
26,26,0,1e42
27,27,0,22a2
28,28,0,1e26
29,29,0,22af
30,30,0,1e3c
31,31,0,229e
32,32,0,1e31
33,33,0,2296
34,34,0,1e69
35,35,0,2287
36,36,0,1e73
37,37,0,2275
38,38,0,1e58
39,39,0,2290
40,40,0,1ef1
41,41,0,3ee9
42,42,0,2ef8
43,43,0,1e78
44,44,0,2e8b
45,45,0,1e4a
46,46,0,2274
47,47,0,1e6a
48,48,0,228e
49,49,0,1e56
50,50,0,229f
51,51,0,1e3b
52,52,0,22a8
53,53,0,1e2d
54,54,0,22a7
55,55,0,1e3d
56,56,0,2298
57,57,0,1e5d
58,58,0,227f
59,59,0,1e5f
60,60,0,2288
61,61,0,1e69
62,62,0,2289
63,63,0,1e64
64,64,0,227c
65,65,0,1e6d
66,66,0,2287
67,67,0,1e71
68,68,0,2288
69,69,0,1e5a
70,70,0,22ae
71,71,0,1e40
72,72,0,22a0
73,73,0,1e42
74,74,0,2298
75,75,0,1e5c
76,76,0,2eee
77,77,0,3ebe
78,78,0,3eb6
79,79,0,2eb6
80,80,0,1e44
81,81,0,22a0
82,82,0,1e3f
83,83,0,2299
84,84,0,1e50
85,85,0,2298
86,86,0,1e68
87,87,0,2273
88,88,0,1e73
89,89,0,2275
90,90,0,1e57
91,91,0,22a1
92,92,0,1e48
93,93,0,229f
94,94,0,1e53
95,95,0,2293
96,96,0,1e4b
97,97,0,228d
98,98,0,1e48
99,99,0,22a5
100,100,0,1e2c
101,101,0,22b8
102,102,0,1e11
103,103,0,22c1
104,104,0,1e23
105,105,0,2296
106,106,0,1e57
107,107,0,2299
108,108,0,1e50
109,109,0,2296
110,110,0,1e5b
111,111,0,2e9f
112,112,0,1ebe
113,113,0,3e7f
114,114,0,3e7f
115,115,0,3e7e
116,116,0,3e7e
117,117,0,1e5e
118,118,0,22a5
119,119,0,1e21
120,120,0,22cb
121,121,0,1e01
122,122,0,22bb
123,123,0,1e00
124,124,0,22c2
125,125,0,1e1c
126,126,0,22c9
127,127,0,1e23
128,128,0,22af
129,129,0,1e23
130,130,0,22a6
131,131,0,1e21
132,132,0,22b5
133,133,0,1e34
134,134,0,228d
135,135,0,1e42
136,136,0,229a
137,137,0,1e64
138,138,0,2289
139,139,0,1e6e
140,140,0,2296
141,141,0,1e3e
142,142,0,2295
143,143,0,1e46
144,144,0,22ad
145,145,0,1e17
146,146,0,22de
147,147,0,1e0d
148,148,0,3ebf
149,149,0,3ebf
150,150,0,1e9f
151,151,0,2ebd
152,152,0,1e18
153,153,0,22b5
154,154,0,1e3e
155,155,0,229d
156,156,0,1e5d
157,157,0,2297
158,158,0,1e44
159,159,0,2284
160,160,0,1e6f
161,161,0,22a7
162,162,0,1e38
163,163,0,2295
164,164,0,1e58
165,165,0,229d
166,166,0,1e32
167,167,0,22b1
168,168,0,1e22
