Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid,design_1_i/xfft_0_m_axis_data_tdata[63:0],design_1_i/xfft_0_m_axis_data_tlast,design_1_i/xfft_0_m_axis_data_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,-12017482,0,1,339c,001c,13212,8374,1,b3adaa8da48bcea5,0,0
1,1,0,-11501958,0,1,36b9,001c,14009,15994,1,b3adaa8da48bcea5,0,0
2,2,0,-8591936,0,1,3fd4,001c,16340,9664,1,b3adaa8da48bcea5,0,0
3,3,0,-6935490,0,1,3fff,001c,16383,11326,1,b3adaa8da48bcea5,0,0
4,4,0,-3730896,0,1,3fff,001c,16383,4656,1,b3adaa8da48bcea5,0,0
5,5,0,0,0,1,3fff,001c,16383,0,1,b3adaa8da48bcea5,0,0
6,6,0,0,0,1,3cd4,001c,15572,0,1,b3adaa8da48bcea5,0,0
7,7,0,0,0,1,3a8b,001c,14987,0,1,b3adaa8da48bcea5,0,0
8,8,0,0,0,1,2d93,001c,11667,0,1,b3adaa8da48bcea5,0,0
9,9,0,-632016,0,1,2320,001c,8992,6960,1,b3adaa8da48bcea5,0,0
10,10,0,-644148,0,1,1a36,001c,6710,11212,1,b3adaa8da48bcea5,0,0
11,11,0,-4555980,0,1,0adf,001c,2783,15156,1,b3adaa8da48bcea5,0,0
12,12,0,-8349644,0,1,0000,001c,0,6196,1,b3adaa8da48bcea5,0,0
13,13,0,-10783300,0,1,0000,001c,0,13756,1,b3adaa8da48bcea5,0,0
14,14,0,-14765205,0,1,0000,001c,0,13163,1,b3adaa8da48bcea5,0,0
15,15,0,-15942242,0,1,0000,001c,0,15774,1,b3adaa8da48bcea5,0,0
16,16,0,-18925049,0,1,063b,001c,1595,14855,1,b3adaa8da48bcea5,0,0
17,17,0,-19266408,0,1,1445,001c,5189,1176,1,b3adaa8da48bcea5,0,0
18,18,0,-19577685,0,1,2d38,001c,10553,1195,1,b3adaa8da48bcea5,0,0
19,19,0,-19905345,0,1,2fca,001c,12234,1215,1,b3adaa8da48bcea5,0,0
20,20,0,-19198572,0,1,3ffb,001c,15347,3476,1,b3adaa8da48bcea5,0,0
21,21,0,-20161812,0,1,3fff,001c,15871,6892,1,b3adaa8da48bcea5,0,0
22,22,0,-19000798,0,1,3fff,001c,16383,4642,1,b3adaa8da48bcea5,0,0
23,23,0,-15133272,0,1,3fff,001c,16383,5544,1,b3adaa8da48bcea5,0,0
24,24,0,-11780236,0,1,3fff,001c,16383,16244,1,b3adaa8da48bcea5,0,0
25,25,0,-8873784,0,1,3fff,001c,16383,6344,1,b3adaa8da48bcea5,0,0
26,26,0,-3718000,0,1,3ed2,001c,16336,1168,1,b3adaa8da48bcea5,0,0
27,27,0,0,0,1,3562,001c,13794,0,1,b3adaa8da48bcea5,0,0
28,28,0,0,0,1,31c5,001c,12741,0,1,b3adaa8da48bcea5,0,0
29,29,0,0,0,1,241b,001c,9243,0,1,b3adaa8da48bcea5,0,0
30,30,0,0,0,1,1c17,001c,7191,0,1,b3adaa8da48bcea5,0,0
31,31,0,-2229696,0,1,0dd5,001c,3541,14912,1,b3adaa8da48bcea5,0,0
32,32,0,-2336064,0,1,0000,001c,0,6848,1,b3adaa8da48bcea5,0,0
33,33,0,-7692752,0,1,0000,001c,0,7728,1,b3adaa8da48bcea5,0,0
34,34,0,-15942528,0,1,0000,001c,0,15488,1,b3adaa8da48bcea5,0,0
35,35,0,-18796108,0,1,0000,001c,0,12724,1,b3adaa8da48bcea5,0,0
36,36,0,-23776640,0,1,02f0,001c,752,12928,1,b3adaa8da48bcea5,0,0
37,37,0,-24870612,0,1,1267,001c,4711,300,1,b3adaa8da48bcea5,0,0
38,38,0,-26081736,0,1,1f71,001c,8049,1592,1,b3adaa8da48bcea5,0,0
39,39,0,-26409396,0,1,2784,001c,10116,1612,1,b3adaa8da48bcea5,0,0
40,40,0,-26720673,0,1,38a2,001c,14498,1631,1,b3adaa8da48bcea5,0,0
41,41,0,-26488644,0,1,3770,001c,14192,4284,1,b3adaa8da48bcea5,0,0
42,42,0,-22834215,0,1,3fff,001c,16383,5081,1,b3adaa8da48bcea5,0,0
43,43,0,-21563632,0,1,3fff,001c,16383,14096,1,b3adaa8da48bcea5,0,0
44,44,0,-19213560,0,1,3fff,001c,16383,4872,1,b3adaa8da48bcea5,0,0
45,45,0,-10576293,0,1,3fff,001c,16383,7771,1,b3adaa8da48bcea5,0,0
46,46,0,-6163476,0,1,37c0,001c,14272,13292,1,b3adaa8da48bcea5,0,0
47,47,0,0,0,1,38f1,001c,14577,0,1,b3adaa8da48bcea5,0,0
48,48,0,0,0,1,2cbf,001c,11455,0,1,b3adaa8da48bcea5,0,0
49,49,0,0,0,1,21f2,001c,8690,0,1,b3adaa8da48bcea5,0,0
50,50,0,0,0,1,1873,001c,6259,0,1,b3adaa8da48bcea5,0,0
51,51,0,-1385936,0,1,08ea,001c,2282,6704,1,b3adaa8da48bcea5,0,0
52,52,0,-1403948,0,1,0000,001c,0,5076,1,b3adaa8da48bcea5,0,0
53,53,0,-8813440,0,1,0000,001c,0,1152,1,b3adaa8da48bcea5,0,0
54,54,0,-15259920,0,1,0000,001c,0,9968,1,b3adaa8da48bcea5,0,0
55,55,0,-19464644,0,1,0000,001c,0,15932,1,b3adaa8da48bcea5,0,0
56,56,0,-28099086,0,1,0c07,001c,3079,15858,1,b3adaa8da48bcea5,0,0
57,57,0,-27669600,0,1,1d9f,001c,5535,2976,1,b3adaa8da48bcea5,0,0
58,58,0,-32258127,0,1,179b,001c,16283,1969,1,b3adaa8da48bcea5,0,0
59,59,0,-32536638,0,1,3acf,001c,15055,1986,1,b3adaa8da48bcea5,0,0
60,60,0,-32815149,0,1,34cf,001c,13519,2003,1,b3adaa8da48bcea5,0,0
61,61,0,-33077277,0,1,34cb,001c,16091,2019,1,b3adaa8da48bcea5,0,0
62,62,0,-33339405,0,1,3e56,001c,16348,2035,1,b3adaa8da48bcea5,0,0
63,63,0,-31503360,0,1,3fff,001c,16383,3072,1,b3adaa8da48bcea5,0,0
64,64,0,-30444843,0,1,3fff,001c,16383,13013,1,b3adaa8da48bcea5,0,0
65,65,0,-23830572,0,1,3fff,001c,16383,8148,1,b3adaa8da48bcea5,0,0
66,66,0,-17996454,0,1,3e3f,001c,15935,9562,1,b3adaa8da48bcea5,0,0
67,67,0,-13153536,0,1,348c,001c,13452,2816,1,b3adaa8da48bcea5,0,0
68,68,0,-4828146,0,1,30b5,001c,12469,5134,1,b3adaa8da48bcea5,0,0
69,69,0,0,0,1,2aa8,001c,10920,0,1,b3adaa8da48bcea5,0,0
70,70,0,0,0,1,167a,001c,5754,0,1,b3adaa8da48bcea5,0,0
71,71,0,0,0,1,07f9,001c,2041,0,1,b3adaa8da48bcea5,0,0
72,72,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
73,73,0,-6773280,0,1,0000,001c,0,9696,1,b3adaa8da48bcea5,0,0
74,74,0,-12218976,0,1,0000,001c,0,3488,1,b3adaa8da48bcea5,0,0
75,75,0,-24258552,0,1,0000,001c,0,6152,1,b3adaa8da48bcea5,0,0
76,76,0,-27886494,0,1,08af,001c,2223,15458,1,b3adaa8da48bcea5,0,0
77,77,0,-30235380,0,1,1806,001c,6150,9484,1,b3adaa8da48bcea5,0,0
78,78,0,-35828624,0,1,2110,001c,8464,3184,1,b3adaa8da48bcea5,0,0
79,79,0,-36976431,0,1,2cbd,001c,11453,2257,1,b3adaa8da48bcea5,0,0
80,80,0,-37123878,0,1,3995,001c,14741,2266,1,b3adaa8da48bcea5,0,0
81,81,0,-37271325,0,1,3c25,001c,15397,2275,1,b3adaa8da48bcea5,0,0
82,82,0,-36395586,0,1,3fff,001c,16383,9662,1,b3adaa8da48bcea5,0,0
83,83,0,-30880389,0,1,3fff,001c,16383,3451,1,b3adaa8da48bcea5,0,0
84,84,0,-28659669,0,1,3fff,001c,16383,12331,1,b3adaa8da48bcea5,0,0
85,85,0,-25157376,0,1,3fff,001c,16383,8448,1,b3adaa8da48bcea5,0,0
86,86,0,-13305600,0,1,3755,001c,14165,14592,1,b3adaa8da48bcea5,0,0
87,87,0,-4717970,0,1,388a,001c,14474,622,1,b3adaa8da48bcea5,0,0
88,88,0,0,0,1,276b,001c,10091,0,1,b3adaa8da48bcea5,0,0
89,89,0,0,0,1,2110,001c,8208,0,1,b3adaa8da48bcea5,0,0
90,90,0,0,0,1,1298,001c,4760,0,1,b3adaa8da48bcea5,0,0
91,91,0,0,0,1,02d2,001c,722,0,1,b3adaa8da48bcea5,0,0
92,92,0,-149056,0,1,02d2,001c,18,14784,1,b3adaa8da48bcea5,0,0
93,93,0,-5258660,0,1,0000,001c,0,604,1,b3adaa8da48bcea5,0,0
94,94,0,-11916520,0,1,0000,001c,0,11032,1,b3adaa8da48bcea5,0,0
95,95,0,-19787020,0,1,0000,001c,0,4852,1,b3adaa8da48bcea5,0,0
96,96,0,-26727246,0,1,0cd6,001c,3542,11442,1,b3adaa8da48bcea5,0,0
97,97,0,-34296854,0,1,0dd6,001c,3542,11242,1,b3adaa8da48bcea5,0,0
98,98,0,-35796241,0,1,172a,001c,5930,2799,1,b3adaa8da48bcea5,0,0
99,99,0,-38057709,0,1,2401,001c,9217,2323,1,b3adaa8da48bcea5,0,0
100,100,0,-37992177,0,1,31ee,001c,12782,2319,1,b3adaa8da48bcea5,0,0
101,101,0,-37910262,0,1,3571,001c,13681,2314,1,b3adaa8da48bcea5,0,0
102,102,0,-37828347,0,1,3f00,001c,16128,2309,1,b3adaa8da48bcea5,0,0
103,103,0,-32644662,0,1,3fff,001c,16383,8650,1,b3adaa8da48bcea5,0,0
104,104,0,-33256118,0,1,3fff,001c,16383,3402,1,b3adaa8da48bcea5,0,0
105,105,0,-23097744,0,1,3fff,001c,16383,3696,1,b3adaa8da48bcea5,0,0
106,106,0,-18728325,0,1,3dba,001c,15802,14971,1,b3adaa8da48bcea5,0,0
107,107,0,-10740840,0,1,3bc8,001c,15304,7064,1,b3adaa8da48bcea5,0,0
108,108,0,-1616835,0,1,2fde,001c,12254,5181,1,b3adaa8da48bcea5,0,0
109,109,0,0,0,1,297a,001c,10618,0,1,b3adaa8da48bcea5,0,0
110,110,0,0,0,1,14f3,001c,5363,0,1,b3adaa8da48bcea5,0,0
111,111,0,0,0,1,0643,001c,1603,0,1,b3adaa8da48bcea5,0,0
112,112,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
113,113,0,-7669350,0,1,0000,001c,0,14746,1,b3adaa8da48bcea5,0,0
114,114,0,-12925616,0,1,0000,001c,0,1360,1,b3adaa8da48bcea5,0,0
115,115,0,-19866000,0,1,0000,001c,0,7792,1,b3adaa8da48bcea5,0,0
116,116,0,-27225656,0,1,0ac8,001c,2760,4552,1,b3adaa8da48bcea5,0,0
117,117,0,-28876369,0,1,1971,001c,6513,8623,1,b3adaa8da48bcea5,0,0
118,118,0,-33551429,0,1,2294,001c,8852,3003,1,b3adaa8da48bcea5,0,0
119,119,0,-33863661,0,1,2df0,001c,11760,2067,1,b3adaa8da48bcea5,0,0
120,120,0,-33470469,0,1,3a6d,001c,14957,2043,1,b3adaa8da48bcea5,0,0
121,121,0,-33077277,0,1,3ccb,001c,15563,2019,1,b3adaa8da48bcea5,0,0
122,122,0,-31529260,0,1,3fff,001c,16383,9940,1,b3adaa8da48bcea5,0,0
123,123,0,-32140168,0,1,3fff,001c,16383,5240,1,b3adaa8da48bcea5,0,0
124,124,0,-29674656,0,1,3fff,001c,16383,13152,1,b3adaa8da48bcea5,0,0
125,125,0,-23348979,0,1,3f8b,001c,16267,14605,1,b3adaa8da48bcea5,0,0
126,126,0,-20038260,0,1,3fa2,001c,13986,15756,1,b3adaa8da48bcea5,0,0
127,127,0,-9907308,0,1,37b3,001c,13203,5012,1,b3adaa8da48bcea5,0,0
128,128,0,-2592206,0,1,37d7,001c,10071,12850,1,b3adaa8da48bcea5,0,0
129,129,0,0,0,1,3ecd,001c,7821,0,1,b3adaa8da48bcea5,0,0
130,130,0,0,0,1,1efc,001c,7932,0,1,b3adaa8da48bcea5,0,0
131,131,0,0,0,1,10fe,001c,4350,0,1,b3adaa8da48bcea5,0,0
132,132,0,0,0,1,00f6,001c,246,0,1,b3adaa8da48bcea5,0,0
