Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid,design_1_i/xfft_0_m_axis_data_tdata[63:0],design_1_i/xfft_0_m_axis_data_tlast,design_1_i/xfft_0_m_axis_data_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,8158,0,1,2009,001c,11915,8158,1,fffffff200000103,0,0
1,1,0,8184,0,1,201d,001c,8221,8184,1,fffffff200000103,0,0
2,2,0,8178,0,1,1ff4,001c,16372,8178,1,fffffff200000103,0,0
3,3,0,8168,0,1,1fff,001c,8191,8168,1,fffffff200000103,0,0
4,4,0,8209,0,1,1fff,001c,8191,8209,1,fffffff200000103,0,0
5,5,0,8160,0,1,3ffa,001c,8186,8160,1,fffffff200000103,0,0
6,6,0,8225,0,1,2f14,001c,10772,8225,1,fffffff200000103,0,0
7,7,0,8180,0,1,1fde,001c,8158,8180,1,fffffff200000103,0,0
8,8,0,8191,0,1,2015,001c,8213,8191,1,fffffff200000103,0,0
9,9,0,8161,0,1,2013,001c,8211,8161,1,fffffff200000103,0,0
10,10,0,8183,0,1,1fbd,001c,8125,8183,1,fffffff200000103,0,0
11,11,0,8182,0,1,2031,001c,8241,8182,1,fffffff200000103,0,0
12,12,0,8249,0,1,2003,001c,8195,8249,1,fffffff200000103,0,0
13,13,0,8140,0,1,1fd0,001c,8144,8140,1,fffffff200000103,0,0
14,14,0,8190,0,1,2003,001c,8195,8190,1,fffffff200000103,0,0
15,15,0,8235,0,1,2017,001c,8215,8235,1,fffffff200000103,0,0
16,16,0,8145,0,1,1ff7,001c,8183,8145,1,fffffff200000103,0,0
17,17,0,8201,0,1,1fdc,001c,8156,8201,1,fffffff200000103,0,0
18,18,0,8167,0,1,2026,001c,8230,8167,1,fffffff200000103,0,0
