Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid,design_1_i/xfft_0_m_axis_data_tdata[63:0],design_1_i/xfft_0_m_axis_data_tlast,design_1_i/xfft_0_m_axis_data_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,7759,0,1,1dac,001c,7596,7759,1,fffffba5ffffff57,0,0
1,1,0,7514,0,1,1faf,001c,8111,7514,1,fffffba5ffffff57,0,0
2,2,0,7360,0,1,1faf,001c,8071,7360,1,fffffba5ffffff57,0,0
3,3,0,7382,0,1,1fa9,001c,8105,7382,1,fffffba5ffffff57,0,0
4,4,0,7561,0,1,20fb,001c,8443,7561,1,fffffba5ffffff57,0,0
5,5,0,7826,0,1,2250,001c,8784,7826,1,fffffba5ffffff57,0,0
6,6,0,8131,0,1,22f3,001c,8947,8131,1,fffffba5ffffff57,0,0
7,7,0,8406,0,1,2322,001c,8994,8406,1,fffffba5ffffff57,0,0
8,8,0,8670,0,1,22dc,001c,8924,8670,1,fffffba5ffffff57,0,0
9,9,0,8934,0,1,2241,001c,8769,8934,1,fffffba5ffffff57,0,0
10,10,0,9021,0,1,2144,001c,8516,9021,1,fffffba5ffffff57,0,0
11,11,0,8953,0,1,2003,001c,8195,8953,1,fffffba5ffffff57,0,0
12,12,0,8771,0,1,1eb5,001c,7861,8771,1,fffffba5ffffff57,0,0
13,13,0,8505,0,1,1d96,001c,7574,8505,1,fffffba5ffffff57,0,0
14,14,0,8220,0,1,1d09,001c,7433,8220,1,fffffba5ffffff57,0,0
15,15,0,7882,0,1,1cef,001c,7407,7882,1,fffffba5ffffff57,0,0
16,16,0,7637,0,1,1d36,001c,7478,7637,1,fffffba5ffffff57,0,0
17,17,0,7440,0,1,1df8,001c,7672,7440,1,fffffba5ffffff57,0,0
18,18,0,7378,0,1,1f12,001c,7954,7378,1,fffffba5ffffff57,0,0
19,19,0,7456,0,1,2064,001c,8292,7456,1,fffffba5ffffff57,0,0
20,20,0,7643,0,1,2196,001c,8598,7643,1,fffffba5ffffff57,0,0
21,21,0,7931,0,1,22a3,001c,8867,7931,1,fffffba5ffffff57,0,0
22,22,0,8244,0,1,2326,001c,8998,8244,1,fffffba5ffffff57,0,0
23,23,0,8523,0,1,2323,001c,8995,8523,1,fffffba5ffffff57,0,0
24,24,0,8841,0,1,229a,001c,8858,8841,1,fffffba5ffffff57,0,0
25,25,0,9020,0,1,21ce,001c,8654,9020,1,fffffba5ffffff57,0,0
26,26,0,8980,0,1,20af,001c,8367,8980,1,fffffba5ffffff57,0,0
27,27,0,9109,0,1,1f4d,001c,8013,9109,1,fffffba5ffffff57,0,0
28,28,0,8885,0,1,1e3b,001c,7739,8885,1,fffffba5ffffff57,0,0
29,29,0,8669,0,1,1d6f,001c,7535,8669,1,fffffba5ffffff57,0,0
30,30,0,8395,0,1,1ce4,001c,7396,8395,1,fffffba5ffffff57,0,0
31,31,0,8049,0,1,1d22,001c,7586,8049,1,fffffba5ffffff57,0,0
32,32,0,7761,0,1,1d8e,001c,7566,7761,1,fffffba5ffffff57,0,0
