Sample in Buffer,Sample in Window,TRIGGER,design_1_i/i_adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid,design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/floating_point_3_m_axis_result_tdata[31:0],design_1_i/floating_point_3_m_axis_result_tvalid,design_1_i/xlconstant_2_dout,design_1_i/adc_interface_fft_vco_1_m_axis_tdata[31:0],design_1_i/adc_interface_fft_vco_1_m_axis_tvalid,design_1_i/adc_interface_fft_vco_1_m_axis_tlast
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,HEX,SIGNED,HEX,HEX
0,0,0,10821,108,1,001c,2a45,1508438505,0,1,-606100,1,0
1,1,0,10575,2094,1,001c,294f,1508438505,0,1,-554962,1,0
2,2,0,9186,6748,1,001c,23e2,1508438505,0,1,-550308,1,0
3,3,0,8615,13338,1,001c,21a7,1508438505,0,1,-543718,1,0
4,4,0,7948,2977,1,001c,1f0c,1508438505,0,1,-455775,1,0
5,5,0,7330,8373,1,001c,1ca2,1508438505,0,1,-450379,1,0
6,6,0,5859,5828,1,001c,16e3,1508438505,0,1,-469308,1,0
7,7,0,5610,3274,1,001c,15ea,1508438505,0,1,-504630,1,0
8,8,0,5590,6338,1,001c,15d6,1508438505,0,1,-567102,1,0
9,9,0,5833,2749,1,001c,16cb,1508438505,0,1,-750915,1,0
10,10,0,7343,14304,1,001c,1caf,1508438505,0,1,-854048,1,0
11,11,0,7918,3205,1,001c,1ee6,1508438505,0,1,-963451,1,0
12,12,0,16038,11572,1,001c,2fb6,1508438505,0,1,-1184460,1,0
13,13,0,9174,5536,1,001c,23d6,1508438505,0,1,-1288800,1,0
14,14,0,11250,9282,1,001c,2bf2,1508438505,0,1,-1366974,1,0
15,15,0,11131,11778,1,001c,2b7b,1508438505,0,1,-1397246,1,0
16,16,0,10811,483,1,001c,2a3b,1508438505,0,1,-1261085,1,0
17,17,0,10954,5946,1,001c,2aca,1508438505,0,1,-1239238,1,0
18,18,0,10441,8816,1,001c,2ac9,1508438505,0,1,-1203600,1,0
19,19,0,8939,5588,1,001c,22eb,1508438505,0,1,-1157676,1,0
20,20,0,8343,4630,1,001c,2097,1508438505,0,1,-962026,1,0
21,21,0,7650,9111,1,001c,1de2,1508438505,0,1,-941161,1,0
22,22,0,6068,1840,1,001c,17b4,1508438505,0,1,-981200,1,0
23,23,0,5716,266,1,001c,1654,1508438505,0,1,-1064694,1,0
24,24,0,5559,12290,1,001c,15b7,1508438505,0,1,-1380350,1,0
25,25,0,5665,4317,1,001c,1621,1508438505,0,1,-1552163,1,0
26,26,0,6016,11203,1,001c,1780,1508438505,0,1,-1741885,1,0
27,27,0,7599,9836,1,001c,1daf,1508438505,0,1,-1923476,1,0
28,28,0,8198,1348,1,001c,2006,1508438505,0,1,-2325180,1,0
29,29,0,8839,12952,1,001c,2287,1508438505,0,1,-2461032,1,0
30,30,0,10431,5452,1,001c,28bf,1508438505,0,1,-2550452,1,0
31,31,0,10744,9800,1,001c,29f8,1508438505,0,1,-2562488,1,0
32,32,0,10789,12014,1,001c,2a25,1508438505,0,1,-2265362,1,0
33,33,0,10652,11610,1,001c,299c,1508438505,0,1,-2200230,1,0
34,34,0,10257,3842,1,001c,2811,1508438505,0,1,-2093310,1,0
35,35,0,8639,10887,1,001c,21bf,1508438505,0,1,-1709433,1,0
36,36,0,7988,1088,1,001c,1f34,1508438505,0,1,-1653696,1,0
37,37,0,7448,7919,1,001c,1d18,1508438505,0,1,-1646865,1,0
38,38,0,5905,8908,1,001c,1711,1508438505,0,1,-1727796,1,0
39,39,0,5581,11812,1,001c,15cd,1508438505,0,1,-1888732,1,0
40,40,0,5569,11948,1,001c,15c1,1508438505,0,1,-2445652,1,0
41,41,0,5833,416,1,001c,16c9,1508438505,0,1,-2735712,1,0
42,42,0,7272,7814,1,001c,1c68,1508438505,0,1,-3039610,1,0
43,43,0,7842,10700,1,001c,1ea2,1508438505,0,1,-3675700,1,0
44,44,0,8490,12233,1,001c,212a,1508438505,0,1,-3919927,1,0
45,45,0,9115,12218,1,001c,239b,1508438505,0,1,-4100166,1,0
46,46,0,10619,13040,1,001c,296b,1508438505,0,1,-4148496,1,0
47,47,0,11117,12659,1,001c,2a6d,1508438505,0,1,-4099725,1,0
48,48,0,10805,4176,1,001c,2a35,1508438505,0,1,-3583920,1,0
49,49,0,10975,14000,1,001c,2adf,1508438505,0,1,-3426640,1,0
50,50,0,11230,12794,1,001c,2bde,1508438505,0,1,-3247622,1,0
51,51,0,9175,3424,1,001c,23d7,1508438505,0,1,-2634400,1,0
52,52,0,11975,2577,1,001c,3ec7,1508438505,0,1,-2569711,1,0
53,53,0,7750,6426,1,001c,1e46,1508438505,0,1,-2598630,1,0
