Sample in Buffer,Sample in Window,TRIGGER,design_1_i/floating_point_3_m_axis_result_tdata[31:0],design_1_i/floating_point_3_m_axis_result_tlast,design_1_i/axi_dma_0_s_axis_s2mm_tready,design_1_i/floating_point_3_m_axis_result_tvalid,design_1_i/axis_data_fifo_0_m_axis_tdata[31:0],design_1_i/axis_data_fifo_0_m_axis_tlast,design_1_i/xfft_0_s_axis_data_tready,design_1_i/axis_data_fifo_0_m_axis_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1280053301,0,0,1,45e00800,0,0,1
1,1,0,1280053301,0,0,1,45e00800,0,0,1
2,2,0,1280053301,0,0,1,45e00800,0,0,1
3,3,0,1280053301,0,0,1,45e00800,0,0,1
4,4,0,1280053301,0,0,1,45e00800,0,0,1
5,5,0,1280053301,0,0,1,45e00800,0,0,1
6,6,0,1280053301,0,0,1,45e00800,0,0,1
7,7,0,1280053301,0,0,1,45e00800,0,0,1
8,8,0,1280053301,0,0,1,45e00800,0,0,1
9,9,0,1280053301,0,0,1,45e00800,0,0,1
10,10,0,1280053301,0,0,1,45e00800,0,0,1
11,11,0,1280053301,0,0,1,45e00800,0,0,1
12,12,0,1280053301,0,0,1,45e00800,0,0,1
13,13,0,1280053301,0,0,1,45e00800,0,0,1
14,14,0,1280053301,0,0,1,45e00800,0,0,1
15,15,0,1280053301,0,0,1,45e00800,0,0,1
16,16,0,1280053301,0,0,1,45e00800,0,0,1
17,17,0,1280053301,0,0,1,45e00800,0,0,1
18,18,0,1280053301,0,0,1,45e00800,0,0,1
19,19,0,1280053301,0,0,1,45e00800,0,0,1
20,20,0,1280053301,0,0,1,45e00800,0,0,1
21,21,0,1280053301,0,0,1,45e00800,0,0,1
22,22,0,1280053301,0,0,1,45e00800,0,0,1
23,23,0,1280053301,0,0,1,45e00800,0,0,1
24,24,0,1280053301,0,0,1,45e00800,0,0,1
25,25,0,1280053301,0,0,1,45e00800,0,0,1
26,26,0,1280053301,0,0,1,45e00800,0,0,1
27,27,0,1280053301,0,0,1,45e00800,0,0,1
28,28,0,1280053301,0,0,1,45e00800,0,0,1
29,29,0,1280053301,0,0,1,45e00800,0,0,1
30,30,0,1280053301,0,0,1,45e00800,0,0,1
31,31,0,1280053301,0,0,1,45e00800,0,0,1
32,32,0,1280053301,0,0,1,45e00800,0,0,1
33,33,0,1280053301,0,0,1,45e00800,0,0,1
34,34,0,1280053301,0,0,1,45e00800,0,0,1
35,35,0,1280053301,0,0,1,45e00800,0,0,1
36,36,0,1280053301,0,0,1,45e00800,0,0,1
37,37,0,1280053301,0,0,1,45e00800,0,0,1
38,38,0,1280053301,0,0,1,45e00800,0,0,1
39,39,0,1280053301,0,0,1,45e00800,0,0,1
