Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX
0,0,0,7843,0,0,e12c,001c,8492,7843,0
1,1,0,7843,0,0,e1da,001c,8670,7843,0
2,2,0,7843,0,0,e0db,001c,8411,7843,0
3,3,0,7843,0,0,e0df,001c,8415,7843,0
4,4,0,7843,0,0,e0df,001c,8415,7843,0
5,5,0,7843,0,0,e066,001c,8294,7843,0
6,6,0,7843,0,0,e036,001c,8230,7843,0
7,7,0,7843,0,0,e014,001c,8212,7843,0
8,8,0,7843,0,0,1fe0,001c,8160,7843,0
9,9,0,7843,0,0,1fba,001c,8122,7843,0
10,10,0,7843,0,0,1fa7,001c,8103,7843,0
11,11,0,7843,0,0,1f84,001c,8068,7843,0
12,12,0,7843,0,0,1f3c,001c,7996,7843,0
13,13,0,7843,0,0,1f24,001c,7972,7843,0
14,14,0,7843,0,0,1f1d,001c,7965,7843,0
15,15,0,7843,0,0,1ee2,001c,7906,7843,0
16,16,0,7843,0,0,1ef3,001c,7923,7843,0
17,17,0,7843,0,0,1ece,001c,7886,7843,0
18,18,0,7843,0,0,1ea4,001c,7844,7843,0
19,19,0,7843,0,0,1e92,001c,7826,7843,0
20,20,0,7843,0,0,1e57,001c,7767,7843,0
21,21,0,7843,0,0,1e39,001c,7737,7843,0
22,22,0,7843,0,0,1e37,001c,7735,7843,0
23,23,0,7843,0,0,1e16,001c,7702,7843,0
24,24,0,7843,0,0,1dfc,001c,7676,7843,0
25,25,0,7843,0,0,1e07,001c,7687,7843,0
26,26,0,7843,0,0,1de6,001c,7654,7843,0
27,27,0,7843,0,0,1dfd,001c,7677,7843,0
28,28,0,7843,0,0,1e01,001c,7681,7843,0
29,29,0,7843,0,0,1dfd,001c,7677,7843,0
30,30,0,7843,0,0,1e21,001c,7713,7843,0
31,31,0,7843,0,0,1e21,001c,7713,7843,0
32,32,0,7843,0,0,1e17,001c,7703,7843,0
33,33,0,7843,0,0,1e2d,001c,7725,7843,0
34,34,0,7843,0,0,1e4f,001c,7759,7843,0
35,35,0,7843,0,0,1e49,001c,7753,7843,0
36,36,0,7843,0,0,1e75,001c,7805,7843,0
37,37,0,7843,0,0,1efd,001c,7869,7843,0
38,38,0,7843,0,0,1e8d,001c,7821,7843,0
39,39,0,7843,0,0,1ebc,001c,7868,7843,0
40,40,0,7843,0,0,1efa,001c,7930,7843,0
41,41,0,7843,0,0,1efe,001c,7934,7843,0
42,42,0,7843,0,0,1eff,001c,7932,7843,0
43,43,0,7843,0,0,1f5f,001c,8023,7843,0
44,44,0,7843,0,0,1f4d,001c,8013,7843,0
45,45,0,7843,0,0,1f6e,001c,8046,7843,0
46,46,0,7843,0,0,1f75,001c,8053,7843,0
47,47,0,7843,0,0,1fac,001c,8108,7843,0
48,48,0,7843,0,0,1fc5,001c,8133,7843,0
