Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX
0,0,0,8270,0,0,1ec9,001b,7881,8270,0
1,1,0,8270,0,0,1e24,001b,7716,8270,0
2,2,0,8270,0,0,1e7b,001a,7803,8270,0
3,3,0,8270,0,0,1f36,001a,7990,8270,0
4,4,0,8270,0,0,e032,0019,8242,8270,0
5,5,0,8270,0,0,e13b,0018,8507,8270,0
6,6,0,8270,0,0,e1c5,0018,8645,8270,0
7,7,0,8270,0,0,e1d5,0017,8661,8270,0
8,8,0,8270,0,0,e133,0016,8499,8270,0
9,9,0,8270,0,0,e024,0016,8228,8270,0
10,10,0,8270,0,0,1eff,0015,7935,8270,0
11,11,0,8270,0,0,1e3a,0014,7738,8270,0
12,12,0,8270,0,0,1e2b,0012,7723,8270,0
13,13,0,8270,0,0,1ecd,0011,7885,8270,0
14,14,0,8270,0,0,1fca,0010,8138,8270,0
15,15,0,8270,0,0,e0de,000f,8414,8270,0
16,16,0,8270,0,0,e17a,000d,8570,8270,0
17,17,0,8270,0,0,e1ac,000c,8620,8270,0
18,18,0,8270,0,0,e150,000a,8528,8270,0
19,19,0,8270,0,0,e067,0008,8295,8270,0
20,20,0,8270,0,0,1f47,0007,8039,8270,0
21,21,0,8270,0,0,1e79,0005,7803,8270,0
22,22,0,8270,0,0,1e3a,0003,7739,8270,0
23,23,0,8270,0,0,1e7e,0001,7806,8270,0
24,24,0,8270,0,0,1f65,ffff,8037,8270,0
25,25,0,8270,0,0,ff43,fffd,16195,8270,0
26,26,0,8270,0,0,e173,fffb,8563,8270,0
27,27,0,8270,0,0,e1bb,fff8,8635,8270,0
28,28,0,8270,0,0,e1ab,fff6,8619,8270,0
29,29,0,8270,0,0,e1cb,fff3,8643,8270,0
30,30,0,8270,0,0,e0cb,fff1,8395,8270,0
31,31,0,8270,0,0,1fa5,ffee,8101,8270,0
32,32,0,8270,0,0,1e8c,ffeb,7820,8270,0
33,33,0,8270,0,0,1e03,ffe8,7683,8270,0
34,34,0,8270,0,0,1e1c,ffe5,7708,8270,0
35,35,0,8270,0,0,1ee2,ffe2,7906,8270,0
36,36,0,8270,0,0,1fea,ffdf,8170,8270,0
37,37,0,8270,0,0,e0f1,ffdc,8433,8270,0
38,38,0,8270,0,0,e189,ffd8,8585,8270,0
39,39,0,8270,0,0,e188,ffd5,8584,8270,0
40,40,0,8270,0,0,e0d9,ffd1,8409,8270,0
41,41,0,8270,0,0,1fe8,ffce,8168,8270,0
42,42,0,8270,0,0,1eec,ffce,7916,8270,0
43,43,0,8270,0,0,1e20,ffca,7712,8270,0
44,44,0,8270,0,0,1de2,ffc6,7650,8270,0
45,45,0,8270,0,0,1e74,ffc2,7796,8270,0
46,46,0,8270,0,0,1f78,ffbe,8056,8270,0
47,47,0,8270,0,0,e085,ffb9,8325,8270,0
48,48,0,8270,0,0,e13e,ffb5,8510,8270,0
49,49,0,8270,0,0,e1aa,ffb1,8618,8270,0
50,50,0,8270,0,0,e146,ffac,8518,8270,0
51,51,0,8270,0,0,e057,ffa7,8279,8270,0
52,52,0,8270,0,0,1f5f,ffa2,8031,8270,0
53,53,0,8270,0,0,1e6b,ff9d,7787,8270,0
54,54,0,8270,0,0,1df3,ff98,7667,8270,0
55,55,0,8270,0,0,1e2c,ff93,7724,8270,0
56,56,0,8270,0,0,1f0b,ff8e,7979,8270,0
57,57,0,8270,0,0,e21b,ff88,8219,8270,0
58,58,0,8270,0,0,e111,ff82,8475,8270,0
59,59,0,8270,0,0,e19b,ff7d,8603,8270,0
60,60,0,8270,0,0,e18f,ff77,8591,8270,0
61,61,0,8270,0,0,e1cd,ff71,8653,8270,0
62,62,0,8270,0,0,effc,ff6a,12284,8270,0
